date,train_id,repair_type,duration_minutes,downtime_trips_lost,severity
2025-03-07,KMRL-30,Coupling mechanism check,355,5,High
2025-03-20,KMRL-30,Battery voltage check,221,3,High
2025-03-23,KMRL-30,Door sensor calibration,253,4,Low
2025-03-30,KMRL-30,Wheel flange measurement,236,3,High
2025-07-20,KMRL-30,Fire suppression system test,128,2,High
2025-07-21,KMRL-30,Fire suppression system test,56,0,Medium
2025-10-20,KMRL-30,Door sensor calibration,250,4,High
2025-11-04,KMRL-30,Wheel flange measurement,192,3,Low
2025-11-20,KMRL-30,Coupling mechanism check,325,5,High
2025-12-30,KMRL-30,Battery voltage check,94,1,Low
2025-01-27,KMRL-4,Speedometer calibration,246,4,Medium
2025-03-29,KMRL-4,Pantograph wire check,221,3,Medium
2025-05-16,KMRL-4,Brake pad inspection,139,2,High
2025-05-29,KMRL-4,Speedometer calibration,183,3,Medium
2025-06-06,KMRL-4,Battery voltage check,359,5,Low
2025-11-20,KMRL-4,Coupling mechanism check,321,5,Low
2025-12-14,KMRL-4,Battery voltage check,157,2,Low
2025-01-04,KMRL-5,Speedometer calibration,345,5,Medium
2025-01-04,KMRL-5,Air conditioning service,109,1,Medium
2025-01-05,KMRL-5,Coupling mechanism check,81,1,Medium
2025-03-20,KMRL-5,Pantograph wire check,240,4,Medium
2025-04-12,KMRL-5,Battery voltage check,73,1,High
2025-04-26,KMRL-5,Coupling mechanism check,270,4,Medium
2025-06-02,KMRL-5,Pantograph wire check,211,3,Low
2025-06-29,KMRL-5,Coupling mechanism check,125,2,Medium
2025-11-13,KMRL-5,Brake pad inspection,279,4,Medium
2025-05-26,KMRL-6,HVAC filter replacement,50,0,Medium
2025-07-01,KMRL-6,Brake pad inspection,252,4,Medium
2025-07-06,KMRL-6,HVAC filter replacement,249,4,High
2025-12-03,KMRL-6,HVAC filter replacement,254,4,Low
2025-12-30,KMRL-6,Pantograph wire check,131,2,Low
2026-02-20,KMRL-6,Pantograph wire check,167,2,Medium
2025-01-17,KMRL-7,Air conditioning service,112,1,Low
2025-02-25,KMRL-7,HVAC filter replacement,40,0,Low
2025-03-16,KMRL-7,Brake pad inspection,248,4,High
2025-03-18,KMRL-7,Pantograph wire check,147,2,Low
2025-04-06,KMRL-7,Traction motor inspection,157,2,Low
2025-04-07,KMRL-7,Air conditioning service,332,5,High
2025-04-12,KMRL-7,Passenger door seal replacement,272,4,Low
2025-05-02,KMRL-7,Air conditioning service,56,0,Medium
2025-05-15,KMRL-7,Air conditioning service,156,2,Medium
2025-06-26,KMRL-7,Brake pad inspection,286,4,High
2025-07-25,KMRL-7,Traction motor inspection,49,0,Low
2025-08-08,KMRL-7,Passenger door seal replacement,335,5,Low
2025-08-11,KMRL-7,Traction motor inspection,275,4,Medium
2025-09-03,KMRL-7,Pantograph wire check,166,2,Medium
2025-09-06,KMRL-7,Coupling mechanism check,72,1,Low
2025-09-08,KMRL-7,Speedometer calibration,311,5,High
2025-09-14,KMRL-7,HVAC filter replacement,229,3,Low
2025-11-13,KMRL-7,Passenger door seal replacement,108,1,High
2025-12-25,KMRL-7,Fire suppression system test,287,4,Low
2026-01-01,KMRL-7,Wheel flange measurement,95,1,Medium
2025-02-16,KMRL-8,Coupling mechanism check,56,0,Medium
2025-04-29,KMRL-8,Wheel flange measurement,143,2,Medium
2025-09-03,KMRL-8,Battery voltage check,61,1,Medium
2025-09-26,KMRL-8,Passenger door seal replacement,186,3,High
2025-11-26,KMRL-8,Traction motor inspection,56,0,Low
2025-01-21,KMRL-9,Brake pad inspection,30,0,High
2025-02-19,KMRL-9,Air conditioning service,36,0,High
2025-03-20,KMRL-9,HVAC filter replacement,52,0,Low
2025-05-07,KMRL-9,Brake pad inspection,193,3,Low
2025-05-24,KMRL-9,Passenger door seal replacement,209,3,Medium
2025-07-06,KMRL-9,Traction motor inspection,201,3,Low
2025-07-16,KMRL-9,Pantograph wire check,74,1,Low
2025-08-03,KMRL-9,Passenger door seal replacement,311,5,Medium
2025-08-09,KMRL-9,Traction motor inspection,124,2,Medium
2025-08-17,KMRL-9,Pantograph wire check,80,1,High
2025-08-30,KMRL-9,Fire suppression system test,173,2,Low
2025-08-31,KMRL-9,Battery voltage check,133,2,High
2025-09-28,KMRL-9,Wheel flange measurement,339,5,Low
2025-10-28,KMRL-9,Door sensor calibration,127,2,High
2025-11-13,KMRL-9,Traction motor inspection,205,3,High
2025-11-19,KMRL-9,Pantograph wire check,338,5,Low
2025-11-29,KMRL-9,Door sensor calibration,171,2,High
2026-01-15,KMRL-9,Passenger door seal replacement,215,3,High
2026-01-17,KMRL-9,Door sensor calibration,194,3,Medium
2026-01-24,KMRL-9,Wheel flange measurement,316,5,Medium
2026-01-30,KMRL-9,Wheel flange measurement,96,1,Medium
