date,train_id,trip_no,delay_minutes,is_weekend
2025-01-02,KMRL-20,6,1.86,0
2025-01-02,KMRL-20,7,1.63,0
2025-01-02,KMRL-20,8,5.24,0
2025-01-02,KMRL-21,1,0.83,0
2025-01-02,KMRL-21,2,5.34,0
2025-01-02,KMRL-21,3,3.91,0
2025-01-02,KMRL-21,4,1.12,0
2025-01-02,KMRL-21,5,2.78,0
2025-01-02,KMRL-21,6,2.81,0
2025-01-02,KMRL-21,7,0.22,0
2025-01-02,KMRL-21,8,4.66,0
2025-01-02,KMRL-21,9,1.41,0
2025-01-02,KMRL-22,1,1.4,0
2025-01-02,KMRL-22,2,0.31,0
2025-01-02,KMRL-22,3,1.81,0
2025-01-02,KMRL-22,4,0.39,0
2025-01-02,KMRL-22,5,0.01,0
2025-01-02,KMRL-22,6,1.89,0
2025-01-02,KMRL-22,7,0.08,0
2025-01-02,KMRL-22,8,0.31,0
2025-01-02,KMRL-23,1,2.4,0
2025-01-02,KMRL-23,2,2.41,0
2025-01-02,KMRL-23,3,0.68,0
2025-01-02,KMRL-23,4,0.8,0
2025-01-02,KMRL-23,5,0.48,0
2025-01-02,KMRL-23,6,0.28,0
2025-01-02,KMRL-23,7,0.32,0
2025-01-02,KMRL-24,1,0.89,0
2025-01-02,KMRL-24,2,1.12,0
2025-01-02,KMRL-24,3,1.25,0
2025-01-02,KMRL-24,4,1.25,0
2025-01-02,KMRL-24,5,0.08,0
2025-01-02,KMRL-24,6,0.55,0
2025-01-02,KMRL-24,7,0.05,0
2025-01-02,KMRL-24,8,0.64,0
2025-01-02,KMRL-24,9,0.47,0
2025-01-02,KMRL-25,1,4.37,0
2025-01-02,KMRL-25,2,0.86,0
2025-01-02,KMRL-25,3,0.25,0
2025-01-02,KMRL-25,4,0.31,0
2025-01-02,KMRL-25,5,2.87,0
2025-01-02,KMRL-25,6,1.93,0
2025-01-02,KMRL-25,7,0.21,0
2025-01-02,KMRL-25,8,0.18,0
2025-01-02,KMRL-26,1,0.97,0
2025-01-02,KMRL-26,2,0.06,0
2025-01-02,KMRL-26,3,1.38,0
2025-01-02,KMRL-26,4,0.98,0
2025-01-02,KMRL-26,5,0.07,0
2025-01-02,KMRL-26,6,0.07,0
2025-01-02,KMRL-26,7,3.45,0
2025-01-02,KMRL-26,8,0.38,0
2025-01-02,KMRL-26,9,0.37,0
2025-01-02,KMRL-27,1,1.34,0
2025-01-02,KMRL-27,2,2.35,0
2025-01-02,KMRL-27,3,3.42,0
2025-01-02,KMRL-27,4,1.12,0
2025-01-02,KMRL-27,5,0.38,0
2025-01-02,KMRL-27,6,0.07,0
2025-01-02,KMRL-27,7,1.2,0
2025-01-02,KMRL-28,1,0.65,0
2025-01-02,KMRL-28,2,0.44,0
2025-01-02,KMRL-28,3,1.89,0
2025-01-02,KMRL-28,4,0.09,0
2025-01-02,KMRL-28,5,0.54,0
2025-01-02,KMRL-28,6,0.01,0
2025-01-02,KMRL-28,7,0.51,0
2025-01-02,KMRL-28,8,0.05,0
2025-01-02,KMRL-29,1,0.1,0
2025-01-02,KMRL-29,2,0.1,0
2025-01-02,KMRL-29,3,0.84,0
2025-01-02,KMRL-29,4,1.1,0
2025-01-02,KMRL-29,5,0.7,0
2025-01-02,KMRL-29,6,2.62,0
2025-01-02,KMRL-29,7,0.38,0
2025-01-02,KMRL-30,1,1.18,0
2025-01-02,KMRL-30,2,7.1,0
2025-01-02,KMRL-30,3,0.89,0
2025-01-02,KMRL-30,4,11.56,0
2025-01-02,KMRL-30,5,0.04,0
2025-01-02,KMRL-30,6,12.26,0
2025-01-02,KMRL-30,7,0.15,0
2025-01-02,KMRL-30,8,7.76,0
2025-01-02,KMRL-30,9,2.63,0
2025-01-03,KMRL-1,1,3.97,0
2025-01-03,KMRL-1,2,0.06,0
2025-01-03,KMRL-1,3,0.65,0
2025-01-03,KMRL-1,4,2.79,0
2025-01-03,KMRL-1,5,0.59,0
2025-01-03,KMRL-1,6,0.79,0
2025-01-03,KMRL-1,7,0.95,0
2025-01-03,KMRL-1,8,0.48,0
2025-01-03,KMRL-2,1,0.79,0
2025-01-03,KMRL-2,2,0.7,0
2025-01-03,KMRL-2,3,1.85,0
2025-01-03,KMRL-2,4,0.04,0
2025-01-03,KMRL-2,5,0.26,0
2025-01-03,KMRL-2,6,2.4,0
2025-01-03,KMRL-2,7,1.77,0
2025-01-03,KMRL-2,8,0.49,0
2025-01-03,KMRL-2,9,0.77,0
2025-01-03,KMRL-3,1,0.26,0
2025-01-03,KMRL-3,2,0.17,0
2025-01-03,KMRL-3,3,0.5,0
2025-01-03,KMRL-3,4,0.35,0
2025-01-03,KMRL-3,5,0.7,0
2025-01-03,KMRL-3,6,0.06,0
2025-01-03,KMRL-3,7,2.93,0
2025-01-03,KMRL-3,8,3.43,0
2025-01-03,KMRL-3,9,0.96,0
2025-01-03,KMRL-4,1,0.61,0
2025-01-03,KMRL-4,2,0.3,0
2025-01-03,KMRL-4,3,1.34,0
2025-01-03,KMRL-4,4,0.92,0
2025-01-03,KMRL-4,5,0.14,0
2025-01-03,KMRL-4,6,1.93,0
2025-01-03,KMRL-4,7,1.38,0
2025-01-03,KMRL-4,8,2.39,0
2025-01-03,KMRL-5,1,1.03,0
2025-01-03,KMRL-5,2,0.76,0
2025-01-03,KMRL-5,3,0.43,0
2025-01-03,KMRL-5,4,2.16,0
2025-01-03,KMRL-5,5,1.61,0
2025-01-03,KMRL-5,6,0.04,0
2025-01-03,KMRL-5,7,0.02,0
2025-01-03,KMRL-5,8,0.38,0
2025-01-03,KMRL-5,9,1.33,0
2025-01-03,KMRL-6,1,3.49,0
2025-01-03,KMRL-6,2,0.13,0
2025-01-03,KMRL-6,3,0.72,0
2025-01-03,KMRL-6,4,0.38,0
2025-01-03,KMRL-6,5,2.8,0
2025-01-03,KMRL-6,6,1.48,0
2025-01-03,KMRL-6,7,1.46,0
2025-01-03,KMRL-7,1,1.26,0
2025-01-03,KMRL-7,2,1.07,0
2025-01-03,KMRL-7,3,0.64,0
2025-01-03,KMRL-7,4,0.12,0
2025-01-03,KMRL-7,5,4.0,0
2025-01-03,KMRL-7,6,3.35,0
2025-01-03,KMRL-7,7,16.34,0
2025-01-03,KMRL-7,8,11.39,0
2025-01-03,KMRL-7,9,1.62,0
2025-01-03,KMRL-8,1,1.17,0
2025-01-03,KMRL-8,2,2.32,0
2025-01-03,KMRL-8,3,1.52,0
2025-01-03,KMRL-8,4,0.23,0
2025-01-03,KMRL-8,5,0.48,0
2025-01-03,KMRL-8,6,0.11,0
2025-01-03,KMRL-8,7,2.46,0
2025-01-03,KMRL-9,1,1.86,0
2025-01-03,KMRL-9,2,0.52,0
2025-01-03,KMRL-9,3,2.23,0
2025-01-03,KMRL-9,4,1.93,0
2025-01-03,KMRL-9,5,0.89,0
2025-01-03,KMRL-9,6,0.24,0
2025-01-03,KMRL-9,7,2.23,0
2025-01-03,KMRL-10,1,2.57,0
2025-01-03,KMRL-10,2,5.18,0
2025-01-03,KMRL-10,3,2.57,0
2025-01-03,KMRL-10,4,6.69,0
2025-01-03,KMRL-10,5,2.81,0
2025-01-03,KMRL-10,6,2.88,0
2025-01-03,KMRL-10,7,7.32,0
2025-01-03,KMRL-10,8,1.81,0
2025-01-03,KMRL-10,9,0.5,0
2025-01-03,KMRL-11,1,0.02,0
2025-01-03,KMRL-11,2,1.13,0
2025-01-03,KMRL-11,3,0.77,0
2025-01-03,KMRL-11,4,0.97,0
2025-01-03,KMRL-11,5,0.19,0
2025-01-03,KMRL-11,6,0.12,0
2025-01-03,KMRL-11,7,0.01,0
2025-01-03,KMRL-12,1,0.35,0
2025-01-03,KMRL-12,2,0.71,0
2025-01-03,KMRL-12,3,0.4,0
2025-01-03,KMRL-12,4,0.46,0
2025-01-03,KMRL-12,5,1.88,0
2025-01-03,KMRL-12,6,0.34,0
2025-01-03,KMRL-12,7,0.58,0
2025-01-03,KMRL-12,8,1.22,0
2025-01-03,KMRL-13,1,1.01,0
2025-01-03,KMRL-13,2,1.95,0
2025-01-03,KMRL-13,3,3.97,0
2025-01-03,KMRL-13,4,5.97,0
2025-01-03,KMRL-13,5,0.32,0
2025-01-03,KMRL-13,6,5.22,0
2025-01-03,KMRL-13,7,1.36,0
2025-01-03,KMRL-14,1,0.24,0
2025-01-03,KMRL-14,2,0.49,0
2025-01-03,KMRL-14,3,3.13,0
2025-01-03,KMRL-14,4,0.54,0
2025-01-03,KMRL-14,5,0.32,0
2025-01-03,KMRL-14,6,0.8,0
2025-01-03,KMRL-14,7,0.22,0
2025-01-03,KMRL-15,1,0.06,0
2025-01-03,KMRL-15,2,0.11,0
2025-01-03,KMRL-15,3,0.11,0
2025-01-03,KMRL-15,4,0.13,0
2025-01-03,KMRL-15,5,0.12,0
2025-01-03,KMRL-15,6,0.82,0
2025-01-03,KMRL-15,7,0.16,0
2025-01-03,KMRL-16,1,0.34,0
2025-01-03,KMRL-16,2,1.82,0
2025-01-03,KMRL-16,3,0.51,0
2025-01-03,KMRL-16,4,0.88,0
2025-01-03,KMRL-16,5,0.15,0
2025-01-03,KMRL-16,6,0.17,0
2025-01-03,KMRL-16,7,0.03,0
2025-01-03,KMRL-16,8,0.15,0
2025-01-03,KMRL-17,1,0.26,0
2025-01-03,KMRL-17,2,0.16,0
2025-01-03,KMRL-17,3,0.07,0
2025-01-03,KMRL-17,4,0.1,0
2025-01-03,KMRL-17,5,0.49,0
2025-01-03,KMRL-17,6,0.18,0
2025-01-03,KMRL-17,7,0.36,0
2025-01-03,KMRL-17,8,0.56,0
2025-01-03,KMRL-18,1,0.94,0
2025-01-03,KMRL-18,2,0.03,0
2025-01-03,KMRL-18,3,1.29,0
2025-01-03,KMRL-18,4,0.79,0
2025-01-03,KMRL-18,5,0.07,0
2025-01-03,KMRL-18,6,1.65,0
2025-01-03,KMRL-18,7,2.03,0
2025-01-03,KMRL-18,8,0.05,0
2025-01-03,KMRL-19,1,0.65,0
2025-01-03,KMRL-19,2,3.28,0
2025-01-03,KMRL-19,3,2.76,0
2025-01-03,KMRL-19,4,0.41,0
2025-01-03,KMRL-19,5,0.47,0
2025-01-03,KMRL-19,6,0.93,0
2025-01-03,KMRL-19,7,1.33,0
2025-01-03,KMRL-19,8,1.93,0
2025-01-03,KMRL-19,9,0.92,0
2025-01-03,KMRL-20,1,2.17,0
2025-01-03,KMRL-20,2,4.82,0
2025-01-03,KMRL-20,3,0.13,0
2025-01-03,KMRL-20,4,1.02,0
2025-01-03,KMRL-20,5,4.37,0
2025-01-03,KMRL-20,6,7.9,0
2025-01-03,KMRL-20,7,2.51,0
2025-01-03,KMRL-20,8,2.66,0
